Date,Entry,SL,Target,Exit,Exit Date,Return
2022-01-28,728.6500244140625,703.4500122070312,779.050048828125,703.4500122070312,2022-02-14,-3.458452118669126
2022-02-23,699.2999877929688,650.5,787.1499633789062,650.5,2022-03-03,-6.978405354615311
2022-03-09,620.0,595.0,664.6000366210938,664.6000366210938,2022-03-15,7.193554293724798
2022-06-08,656.0499877929688,639.0,690.1499633789062,639.0,2022-06-16,-2.5988854676039193
2022-06-21,634.4000244140625,615.0,673.2000732421875,673.2000732421875,2022-07-07,6.116022593782381
2022-07-14,641.75,631.5999755859375,662.050048828125,662.050048828125,2022-07-14,3.163233163712505
2022-08-10,715.0,703.5,733.9500732421875,733.9500732421875,2022-08-11,2.650359894012238
2022-08-23,733.0,718.0999755859375,762.800048828125,718.0999755859375,2022-08-29,-2.032745486229536
2022-08-30,726.4000244140625,710.4500122070312,758.300048828125,758.300048828125,2022-09-02,4.391523037157671
2022-09-20,751.4000244140625,734.0999755859375,786.0001220703125,734.0999755859375,2022-09-26,-2.3023753348445095
