Date,Entry,SL,Target,Exit,Exit Date,Return
2022-02-08,1429.1500244140625,1396.25,1494.9500732421875,1360.0,2022-02-14,-4.8385420167776525
2022-04-21,1322.0,1300.550048828125,1359.9498291015625,1290.0,2022-04-25,-2.4205748865355523
2022-04-26,1298.0,1253.0,1388.0,1253.0,2022-04-27,-3.4668721109399074
2022-05-30,1109.0,1026.699951171875,1273.60009765625,1025.0,2022-06-13,-7.57439134355275
2022-07-01,980.0,964.0,1009.0,1009.0,2022-07-01,2.9591836734693877
2022-07-15,1008.2000122070312,987.0,1050.6000366210938,1050.6000366210938,2022-07-18,4.2055171494439305
2022-08-25,1044.0,1028.0,1076.0,1015.0,2022-08-29,-2.7777777777777777
2022-08-30,1045.0,1012.0999755859375,1098.2001953125,1012.0999755859375,2022-09-22,-3.148327695125598
2022-09-27,994.9500122070312,950.2000122070312,1084.4500122070312,0,,0
