Date,Entry,SL,Target,Exit,Exit Date,Return
2022-02-10,808.4500122070312,786.1500244140625,842.4000244140625,786.1500244140625,2022-02-14,-2.75836322051512
2022-02-16,775.4500122070312,748.0,807.3999633789062,748.0,2022-02-22,-3.5398815880994
2022-02-23,754.8499755859375,736.2999877929688,791.949951171875,736.2999877929688,2022-02-24,-2.457440338203586
2022-02-28,744.0,713.75,804.5,713.75,2022-03-04,-4.065860215053763
2022-03-08,703.5499877929688,678.7999877929688,753.0499877929688,753.0499877929688,2022-03-11,7.035747403717702
2022-04-26,752.4500122070312,723.0,811.3500366210938,723.0,2022-05-04,-3.9138828798275425
2022-05-09,729.0,712.0999755859375,762.800048828125,712.0999755859375,2022-05-10,-2.3182475190757885
2022-05-27,605.0,584.25,643.5,645.0,2022-07-07,6.6115702479338845
2022-07-27,636.0,625.0,658.0,625.0,2022-08-03,-1.729559748427673
2022-08-30,664.9000244140625,634.6500244140625,723.9000244140625,634.6500244140625,2022-09-16,-4.549556157206876
2022-09-20,645.7999877929688,623.0,691.3999633789062,691.3999633789062,2022-10-03,7.061005953526897
2022-10-13,685.3499755859375,673.2999877929688,709.449951171875,672.0,2022-10-20,-1.9479063342088816
