Date,Entry,SL,Target,Exit,Exit Date,Return
2022-01-25,890.7000122070312,853.9500122070312,964.2000122070312,853.9500122070312,2022-01-25,-4.125968282961914
2022-02-23,794.0,765.0,852.0,765.0,2022-02-28,-3.6523929471032743
2022-03-10,707.2000122070312,694.4500122070312,732.0999755859375,732.0999755859375,2022-03-10,3.520922362712975
2022-03-29,693.9000244140625,667.0999755859375,747.5001220703125,747.5001220703125,2022-03-31,7.724469775240397
2022-06-09,754.3499755859375,744.2999877929688,774.449951171875,744.2999877929688,2022-06-09,-1.332271242557206
2022-06-15,743.0,732.75,756.75,732.75,2022-06-16,-1.379542395693136
2022-07-01,770.4000244140625,749.0,813.2000732421875,813.2000732421875,2022-07-04,5.555561717521637
2022-07-28,849.25,833.0999755859375,881.550048828125,881.550048828125,2022-08-05,3.80336165182514
2022-09-20,904.7000122070312,882.2000122070312,947.7499389648438,882.2000122070312,2022-09-26,-2.4870122357035083
2022-10-12,837.0,820.0999755859375,870.800048828125,820.0999755859375,2022-10-20,-2.0191188069369774
