Date,Entry,SL,Target,Exit,Exit Date,Return
2022-01-27,492.5,467.6499938964844,542.2000122070312,467.6499938964844,2022-02-15,-5.045686518480331
2022-03-09,395.45001220703125,376.3500061035156,433.6500244140625,433.6500244140625,2022-03-10,9.659883936741991
2022-04-28,434.79998779296875,425.1000061035156,448.6500244140625,425.1000061035156,2022-05-04,-2.2309066149449386
2022-05-13,387.0,366.20001220703125,421.5499572753906,421.5499572753906,2022-05-17,8.927637538860626
2022-06-07,433.95001220703125,424.6000061035156,452.6500244140625,423.0,2022-06-10,-2.5233349231494335
2022-06-15,411.8500061035156,397.70001220703125,440.1499938964844,397.70001220703125,2022-06-16,-3.4357153543243784
2022-06-21,392.95001220703125,376.6499938964844,425.550048828125,425.550048828125,2022-07-07,8.296229955050356
2022-08-24,462.1000061035156,447.6000061035156,491.1000061035156,447.6000061035156,2022-09-07,-3.1378489089982473
2022-09-20,431.6000061035156,424.04998779296875,446.7000427246094,424.04998779296875,2022-09-22,-1.7493091296982204
2022-10-13,398.20001220703125,391.1000061035156,412.4000244140625,414.3500061035156,2022-10-31,4.055749221847765
