Date,Entry,SL,Target,Exit,Exit Date,Return
2022-01-05,115.97000122070312,113.6500015258789,120.61000061035156,113.6500015258789,2022-01-11,-2.0005170909751175
2022-01-13,115.4000015258789,113.23999786376953,118.760009765625,118.760009765625,2022-01-13,2.911618886757639
2022-02-25,111.99500274658203,106.70999908447266,122.56501007080078,122.56501007080078,2022-03-02,9.437927644089758
2022-04-27,124.16999816894531,122.5,127.50999450683594,122.5,2022-04-27,-1.3449288826380734
2022-04-28,125.94999694824219,121.04000091552734,134.4199981689453,121.04000091552734,2022-05-10,-3.898369314556279
2022-05-17,113.4800033569336,109.4000015258789,121.64000701904297,109.4000015258789,2022-05-23,-3.5953487049358643
2022-05-26,101.83499908447266,99.18000030517578,107.1449966430664,107.1449966430664,2022-05-31,5.214314927414178
2022-07-07,86.69999694824219,83.80500030517578,90.72000122070312,91.79000091552734,2022-07-08,5.870823698325809
2022-08-30,106.5,103.25,110.45000457763672,103.25,2022-09-19,-3.051643192488263
2022-09-30,98.25,96.4000015258789,101.94999694824219,96.4000015258789,2022-09-30,-1.8829501008866094
