Date,Entry,SL,Target,Exit,Exit Date,Return
2022-02-09,842.9000244140625,816.0,896.7000732421875,816.0,2022-02-15,-3.1913659550267433
2022-02-23,799.7999877929688,776.0,830.0,776.0,2022-02-24,-2.975742455141105
2022-03-08,736.0,712.25,783.5,783.5,2022-03-08,6.453804347826086
2022-04-22,808.0,790.0,831.25,831.25,2022-04-27,2.8774752475247527
2022-05-10,763.7999877929688,730.4500122070312,830.2000122070312,730.4500122070312,2022-05-12,-4.366323136807532
2022-05-17,726.4000244140625,711.0,757.2000732421875,757.2000732421875,2022-05-24,4.240094685152207
2022-06-21,690.0,655.7000122070312,758.5999755859375,758.5999755859375,2022-06-24,9.942025447237318
2022-08-30,906.0,880.25,944.6000366210938,944.6000366210938,2022-09-01,4.260489693277456
2022-10-18,862.7999877929688,831.0999755859375,920.800048828125,831.0999755859375,2022-10-28,-3.6740858432461816
2022-11-02,833.0,821.0499877929688,856.9000244140625,0,,0
