Date,Entry,SL,Target,Exit,Exit Date,Return
2022-02-09,273.6499938964844,227.0,359.75,359.75,2022-02-10,31.463551260331958
2022-02-23,326.0,305.0,360.8000183105469,360.8000183105469,2022-02-24,10.67485224249904
2022-04-11,550.0999755859375,549.5999755859375,549.5999755859375,550.0999755859375,2022-04-11,0.0
2022-05-11,583.25,583.25,583.25,583.25,2022-05-11,0.0
2022-06-14,612.7999877929688,591.5,655.3999633789062,590.0,2022-06-14,-3.7206247139599498
2022-06-15,631.1500244140625,580.0,703.1499633789062,580.0,2022-06-17,-8.10425769396878
2022-10-18,676.5,636.2000122070312,757.0999755859375,0,,0
