Name,Return,Total Trades,% Profitable,Drawdown,Avg Trade,Avg Days
ABB.NS,4.069626547402315,14,50.0,-8.329633138313527,0.29068761052873676,0.14285714285714285
ACC.NS,-7.046750304039402,14,28.57142857142857,-14.45471296958146,-0.5033393074313859,0.5
AUBANK.NS,-2.9581453967149716,18,50.0,-17.913924930916842,-0.16434141092860954,0.1111111111111111
ABBOTINDIA.NS,5.944163784737541,12,58.333333333333336,-8.055836215262463,0.49534698206146177,0.0
ADANIENT.NS,2.5338008156472993,18,50.0,-13.27332751305814,0.14076671198040552,0.05555555555555555
ADANIGREEN.NS,7.608744100615869,19,57.89473684210527,-12.783618385528488,0.40046021582188784,0.15789473684210525
ADANIPORTS.NS,5.150941270118016,17,58.82352941176471,-13.92403535034098,0.3029965453010598,0.17647058823529413
ATGL.NS,13.85953136881195,12,75.0,-3.3403125000000005,1.1549609474009959,0.08333333333333333
ADANITRANS.NS,2.044934959457726,9,55.55555555555556,-7.083894457523303,0.2272149954953029,0.0
AWL.NS,-6.184008804609711,18,50.0,-20.132796513156617,-0.34355604470053946,0.0
ABCAPITAL.NS,-11.221795840360691,15,26.666666666666668,-17.090711308608,-0.7481197226907128,0.0
ABFRL.NS,1.170536711116434,19,47.368421052631575,-15.892967470185283,0.06160719532191758,0.15789473684210525
ALKEM.NS,-6.173997556335998,18,27.77777777777778,-16.088634660049216,-0.34299986424088874,0.5
AMBUJACEM.NS,-5.480805815475439,8,25.0,-9.005906835744975,-0.6851007269344299,1.125
APOLLOHOSP.NS,11.380580430544121,16,62.5,-6.856008318876009,0.7112862769090076,0.3125
ASHOKLEY.NS,-1.5533487575194198,17,41.17647058823529,-14.546655360623687,-0.09137345632467175,0.29411764705882354
ASIANPAINT.NS,-7.49852072218772,29,34.48275862068966,-24.87490289570746,-0.2585696800754386,0.2413793103448276
ASTRAL.NS,-1.548148138672178,19,47.368421052631575,-18.0538016055111,-0.08148148098274621,0.3684210526315789
AUROPHARMA.NS,-1.4982609015870039,16,43.75,-15.457078731856248,-0.09364130634918774,0.25
DMART.NS,-1.612079488090866,18,33.33333333333333,-13.358348144807321,-0.08955997156060366,0.2222222222222222
AXISBANK.NS,0.7370911452957252,26,38.46153846153847,-18.599863280708327,0.028349659434450968,0.6923076923076923
BAJFINANCE.NS,0.7492823852599837,20,50.0,-13.134508758331492,0.03746411926299918,1.1
BAJAJFINSV.NS,-4.895843195823949,22,45.45454545454545,-21.523204187759912,-0.22253832708290677,0.4090909090909091
BAJAJHLDNG.NS,2.4247545344418855,14,42.857142857142854,-9.117762849727523,0.1731967524601347,0.7857142857142857
BALKRISIND.NS,3.436133047050549,20,45.0,-14.194736258597136,0.17180665235252746,0.45
BANDHANBNK.NS,-4.023321103278263,20,40.0,-19.101962738777626,-0.20116605516391317,0.1
BANKBARODA.NS,-0.20547783189088076,13,53.84615384615385,-12.038733645121315,-0.01580598706852929,0.23076923076923078
BANKINDIA.NS,-5.566114658946298,16,31.25,-15.566114658946313,-0.34788216618414364,0.25
BERGEPAINT.NS,-1.0944776844469786,18,44.44444444444444,-16.27742483674437,-0.06080431580260992,0.2777777777777778
BEL.NS,0.5051661928896829,15,40.0,-10.512657673779874,0.033677746192645526,0.2
BHARATFORG.NS,9.453273287776568,15,60.0,-7.281809045400649,0.6302182191851046,0.13333333333333333
BHEL.NS,5.592985251037067,17,47.05882352941176,-10.025563730532918,0.32899913241394513,0.11764705882352941
BPCL.NS,-3.1032251314951567,21,33.33333333333333,-16.38787274636694,-0.14777262530929317,0.8571428571428571
BHARTIARTL.NS,-8.386435198919118,16,31.25,-17.86579554119487,-0.5241521999324449,0.5
BIOCON.NS,7.730858496428508,17,52.94117647058824,-9.57526971458179,0.4547563821428534,0.4117647058823529
BOSCHLTD.NS,-4.776829957213823,13,38.46153846153847,-14.290592268127982,-0.36744845824721717,0.15384615384615385
BRITANNIA.NS,0.9214869578640181,14,35.714285714285715,-9.69136343483348,0.06582049699028701,0.5
CANBK.NS,0.5979357239627887,17,52.94117647058824,-16.574569946272163,0.03517268964486992,0.29411764705882354
CHOLAFIN.NS,9.303591106188414,16,62.5,-9.63847102520268,0.5814744441367758,0.0
CIPLA.NS,-5.555612144424778,13,23.076923076923077,-12.151666142347926,-0.42735478034036756,0.6923076923076923
CLEAN.NS,-11.781792685322312,16,18.75,-17.78179268532232,-0.7363620428326445,0.5625
COALINDIA.NS,6.270592733833755,14,57.14285714285714,-8.826435446552567,0.4478994809881254,0.35714285714285715
COFORGE.NS,5.95742885090362,23,56.52173913043478,-15.101578950681827,0.2590186456914617,0.21739130434782608
COLPAL.NS,-2.0575030989760825,19,36.84210526315789,-15.708831796450907,-0.10828963678821486,1.6842105263157894
CONCOR.NS,15.11465466546724,20,60.0,-8.653656623473553,0.755732733273362,0.2
COROMANDEL.NS,0.28752719938758453,14,50.0,-12.744652366389289,0.02053765709911318,0.2857142857142857
CROMPTON.NS,1.787104441088967,18,50.0,-14.441794871922168,0.09928358006049816,0.3333333333333333
CUMMINSIND.NS,-2.659804293211557,14,42.857142857142854,-14.30556273015298,-0.18998602094368264,0.14285714285714285
DLF.NS,4.094352923184842,16,56.25,-13.428462310227511,0.25589705769905263,0.0625
DABUR.NS,-10.399787172588216,17,23.52941176470588,-17.988773402360007,-0.6117521866228363,1.2941176470588236
DALBHARAT.NS,4.907457148397016,19,52.63157894736842,-14.975347221622663,0.25828721833668505,0.10526315789473684
DEEPAKNTR.NS,12.54329294541766,18,66.66666666666666,-8.62653767030153,0.6968496080787588,0.05555555555555555
