Date,Entry,SL,Target,Exit,Exit Date,Return
2022-01-31,1174.949951171875,1135.6500244140625,1253.5498046875,1135.6500244140625,2022-02-28,-3.3448170893249896
2022-03-09,1084.6500244140625,1040.0,1173.9500732421875,1173.9500732421875,2022-03-17,8.233074892186139
2022-05-20,1227.300048828125,1196.300048828125,1289.300048828125,1196.300048828125,2022-05-26,-2.5258696949943116
2022-05-30,1192.0,1150.0,1276.0,1150.0,2022-06-06,-3.523489932885906
2022-06-14,1109.699951171875,1078.699951171875,1171.699951171875,1078.699951171875,2022-06-17,-2.7935479286327003
2022-06-21,1093.0,1057.449951171875,1140.10009765625,1140.10009765625,2022-07-05,4.309249556838975
2022-08-24,1297.0,1275.050048828125,1340.89990234375,1340.89990234375,2022-08-29,3.3847264721472627
2022-09-27,1307.0999755859375,1270.25,1380.7999267578125,1270.25,2022-10-12,-2.8192163012946776
2022-10-27,1187.0,1161.1500244140625,1234.7998046875,0,,0
