Date,Entry,SL,Target,Exit,Exit Date,Return
2022-01-11,156.0,153.9499969482422,160.10000610351562,153.9499969482422,2022-01-11,-1.314104520357572
2022-01-12,158.1999969482422,153.1999969482422,168.1999969482422,168.1999969482422,2022-01-13,6.3211126377402325
2022-01-27,156.0,147.85000610351562,172.29998779296875,172.29998779296875,2022-02-02,10.448710123697918
2022-02-10,156.39999389648438,153.64999389648438,161.3000030517578,151.0,2022-02-14,-3.4526816542323138
2022-02-15,152.89999389648438,148.0,162.69998168945312,148.0,2022-02-15,-3.20470509619624
2022-03-09,136.0,128.10000610351562,149.24996948242188,149.24996948242188,2022-03-15,9.742624619427849
2022-04-26,177.5,172.5,186.30001831054688,186.30001831054688,2022-04-27,4.957756794674296
2022-06-15,176.25,169.5,189.75,169.5,2022-06-17,-3.829787234042553
2022-08-23,194.60000610351562,190.10000610351562,203.60000610351562,190.10000610351562,2022-08-23,-2.312435693144977
2022-09-30,182.89999389648438,177.35000610351562,193.99996948242188,193.99996948242188,2022-10-04,6.06887695809314
2022-11-03,206.0,191.1999969482422,215.04998779296875,215.04998779296875,2022-11-03,4.39319795775182
