Date,Entry,SL,Target,Exit,Exit Date,Return
2022-02-23,385.5,377.25,402.0,377.25,2022-02-24,-2.140077821011673
2022-03-08,332.0,319.1000061035156,357.79998779296875,357.79998779296875,2022-04-11,7.771080660532756
2022-05-17,326.8500061035156,317.04998779296875,346.4500427246094,346.4500427246094,2022-05-18,5.996645634109698
2022-06-08,319.8500061035156,314.25,331.0500183105469,314.25,2022-06-08,-1.7508225720349837
2022-06-21,317.8999938964844,309.45001220703125,334.7999572753906,334.7999572753906,2022-06-24,5.31612573242429
2022-08-02,310.54998779296875,307.0,317.64996337890625,307.0,2022-08-03,-1.1431292650171943
2022-08-30,306.5,298.54998779296875,316.4000244140625,298.54998779296875,2022-09-01,-2.5938049615110113
2022-09-07,296.0,290.20001220703125,307.5999755859375,290.20001220703125,2022-09-16,-1.9594553354624158
2022-09-20,292.95001220703125,286.1000061035156,306.6500244140625,286.1000061035156,2022-09-22,-2.338284969476173
2022-09-28,281.1499938964844,273.5,296.4499816894531,296.4499816894531,2022-10-04,5.441930686508212
2022-10-18,265.6000061035156,258.25,280.3000183105469,280.3000183105469,2022-11-03,5.5346430230509975
