Date,Entry,SL,Target,Exit,Exit Date,Return
2022-01-25,786.0,755.5,847.0,754.5,2022-01-25,-4.007633587786259
2022-02-09,764.5,744.0999755859375,803.6500854492188,744.0999755859375,2022-02-14,-2.6684139194326355
2022-02-28,663.8499755859375,644.6500244140625,702.2498779296875,644.6500244140625,2022-02-28,-2.8922123789984995
2022-03-02,668.9500122070312,644.0999755859375,718.6500854492188,718.6500854492188,2022-03-03,7.429564591562632
2022-04-26,814.0,791.5,843.8500366210938,843.8500366210938,2022-05-04,3.667080665982033
2022-05-30,762.7000122070312,746.6500244140625,794.7999877929688,746.6500244140625,2022-06-07,-2.104364433733883
2022-06-24,635.6500244140625,607.5,691.9500732421875,691.9500732421875,2022-07-08,8.857082776016876
2022-08-30,756.0499877929688,739.4000244140625,789.3499145507812,739.4000244140625,2022-09-06,-2.2022304937151267
2022-09-20,718.5499877929688,696.0499877929688,763.5499877929688,696.0499877929688,2022-09-26,-3.1313061557636237
