Date,Entry,SL,Target,Exit,Exit Date,Return
2022-01-28,825.75,803.0,867.2000732421875,867.2000732421875,2022-01-31,5.0196879494020585
2022-02-15,819.9500122070312,792.3499755859375,875.1500854492188,792.3499755859375,2022-02-15,-3.366063322177858
2022-02-16,830.7999877929688,791.5,886.0,781.0,2022-02-22,-5.994221054969329
2022-02-23,799.9000244140625,780.0,838.0499267578125,775.0,2022-02-24,-3.112892068268419
2022-03-09,730.9500122070312,709.0499877929688,768.7500610351562,768.7500610351562,2022-03-10,5.171358943410028
2022-04-26,754.4500122070312,740.0,783.3500366210938,729.9500122070312,2022-05-05,-3.247398714770896
2022-05-20,670.0,644.0,696.3500366210938,644.0,2022-05-24,-3.880597014925373
2022-06-21,597.9000244140625,568.4500122070312,656.800048828125,568.4500122070312,2022-07-06,-4.9255746787921675
2022-07-07,584.2999877929688,557.0,623.4500732421875,623.4500732421875,2022-07-29,6.700339939608307
2022-08-30,699.9500122070312,666.0,759.0,666.0,2022-09-26,-4.850348112714871
