Date,Open,High,Low,Close,Adj Close,Volume
2021-12-20,250.0,251.0,235.39999389648438,238.60000610351562,236.16477966308594,23427782
2021-12-21,242.9499969482422,249.25,242.10000610351562,244.5500030517578,242.05404663085938,17647123
2021-12-22,248.0,255.0,245.5,254.0500030517578,251.45709228515625,16551555
2021-12-23,257.0,259.0,254.10000610351562,255.5,252.8922882080078,8686908
2021-12-24,256.79998779296875,258.5,250.0,250.75,248.19076538085938,10588760
2021-12-27,250.75,254.25,246.3000030517578,252.6999969482422,250.12086486816406,9533641
2021-12-28,254.5500030517578,257.54998779296875,253.8000030517578,255.1999969482422,252.5953369140625,9774111
2021-12-29,255.5,255.6999969482422,250.60000610351562,252.75,250.17034912109375,7429245
2021-12-30,252.0,252.25,247.0,247.6999969482422,245.17189025878906,8818959
2021-12-31,248.89999389648438,254.10000610351562,248.3000030517578,252.8000030517578,250.2198486328125,6021378
2022-01-03,253.5,259.70001220703125,253.0,258.20001220703125,255.56472778320312,7876078
2022-01-04,259.1499938964844,264.8999938964844,258.0,261.6499938964844,258.9795227050781,14969304
2022-01-05,261.45001220703125,263.5,258.8500061035156,260.6499938964844,257.9897155761719,6858801
2022-01-06,258.0,262.6000061035156,255.0,261.1000061035156,258.43511962890625,7141553
2022-01-07,265.0,265.0,258.1499938964844,260.8500061035156,258.18768310546875,6837243
2022-01-10,261.5,263.79998779296875,259.25,260.79998779296875,258.13818359375,6268163
2022-01-11,260.0,262.79998779296875,258.75,259.29998779296875,256.65350341796875,4576771
2022-01-12,261.0,261.75,258.20001220703125,259.75,257.0989074707031,4221764
2022-01-13,260.70001220703125,272.0,259.75,265.95001220703125,263.2356262207031,23726527
2022-01-14,264.79998779296875,269.79998779296875,260.75,266.8500061035156,264.1264343261719,10756906
2022-01-17,268.0,269.45001220703125,264.1499938964844,266.04998779296875,263.3345947265625,6261775
2022-01-18,267.3999938964844,267.5,252.0,253.10000610351562,250.51678466796875,11993518
2022-01-19,254.0,262.0,251.0,260.04998779296875,257.3958435058594,11484514
2022-01-20,261.0,261.79998779296875,256.1499938964844,259.75,257.0989074707031,6529908
2022-01-21,257.0,258.0,250.0,251.6999969482422,249.1310577392578,10066661
2022-01-24,251.0,252.39999389648438,236.1999969482422,240.0500030517578,237.5999755859375,17907289
2022-01-25,238.0,245.5500030517578,232.0,238.6999969482422,236.26373291015625,16751275
2022-01-27,237.89999389648438,237.89999389648438,225.5,230.39999389648438,228.04844665527344,18001875
2022-01-28,232.0,238.0,232.0,232.89999389648438,230.52293395996094,12734661
2022-01-31,236.75,238.75,234.10000610351562,235.4499969482422,233.04690551757812,6087229
2022-02-01,238.0,238.60000610351562,229.5,233.75,231.3642578125,13524070
2022-02-02,234.5500030517578,243.25,234.5,239.75,237.3030242919922,10421249
2022-02-03,239.75,240.9499969482422,235.14999389648438,235.60000610351562,234.17213439941406,5123711
2022-02-04,236.8000030517578,236.85000610351562,232.10000610351562,232.85000610351562,231.4387969970703,5622404
2022-02-07,232.0,233.39999389648438,224.0,225.64999389648438,224.2824249267578,9931957
2022-02-08,226.5,227.5,215.60000610351562,222.85000610351562,221.49940490722656,16038816
2022-02-09,223.9499969482422,224.89999389648438,217.5500030517578,222.0500030517578,220.70425415039062,15125046
2022-02-10,223.4499969482422,227.4499969482422,221.5,225.3000030517578,223.93455505371094,8898041
2022-02-11,223.5,224.8000030517578,218.5,219.4499969482422,218.1199951171875,8199030
2022-02-14,210.1999969482422,217.4499969482422,210.0,210.64999389648438,209.37332153320312,9900470
2022-02-15,213.5500030517578,222.1999969482422,208.85000610351562,221.0,219.66061401367188,12256445
2022-02-16,223.39999389648438,224.0,217.75,219.35000610351562,218.02061462402344,7433009
2022-02-17,220.39999389648438,222.0,216.0500030517578,216.89999389648438,215.58544921875,5891723
2022-02-18,216.6999969482422,221.3000030517578,216.10000610351562,217.5500030517578,216.2315216064453,8950184
2022-02-21,215.5500030517578,217.0,209.10000610351562,210.1999969482422,208.92605590820312,11205929
2022-02-22,202.0,207.25,201.0500030517578,205.25,204.0060577392578,9435390
2022-02-23,208.0,211.0,206.5500030517578,208.8000030517578,207.5345458984375,7501776
2022-02-24,200.0,203.89999389648438,192.0,193.4499969482422,192.27757263183594,18074029
2022-02-25,199.0,207.9499969482422,199.0,204.1999969482422,202.96241760253906,9721308
2022-02-28,201.9499969482422,207.4499969482422,198.89999389648438,205.85000610351562,204.60243225097656,8312164
2022-03-02,204.0,215.25,202.5,214.0500030517578,212.7527313232422,16240103
2022-03-03,219.0,219.0,212.10000610351562,213.75,212.4545440673828,8735508
2022-03-04,214.0,215.5500030517578,209.10000610351562,211.10000610351562,209.82061767578125,7525040
2022-03-07,206.5,210.1999969482422,201.5,207.89999389648438,206.63999938964844,9280816
2022-03-08,207.14999389648438,217.3000030517578,207.0,214.1999969482422,212.9018096923828,9864026
2022-03-09,217.8000030517578,224.0,216.10000610351562,222.8000030517578,221.44970703125,11567495
2022-03-10,231.0,231.60000610351562,223.10000610351562,224.5500030517578,223.18910217285156,9723445
2022-03-11,221.5,229.14999389648438,221.10000610351562,225.14999389648438,223.7854461669922,8768732
2022-03-14,225.0,225.0,217.1999969482422,219.5,218.16969299316406,7825793
